date,MSFT,SONY,TSLA,AAPL,NFLX
2017-03-19,10,18,5,18,11
2017-03-26,9,17,7,19,11
2017-04-02,5,17,12,17,7
2017-04-09,7,16,8,14,7
2017-04-16,8,18,10,17,20
2017-04-23,19,17,9,19,13
2017-04-30,11,17,16,32,9
2017-05-07,9,17,12,25,9
2017-05-14,11,16,8,23,11
2017-05-21,9,15,8,23,7
2017-05-28,10,16,8,12,6
2017-06-04,13,16,12,21,12
2017-06-11,11,25,9,25,9
2017-06-18,7,18,9,18,8
2017-06-25,4,18,9,16,16
2017-07-02,6,16,14,11,5
2017-07-09,10,17,9,13,12
2017-07-16,19,16,9,15,36
2017-07-23,11,15,7,17,7
2017-07-30,13,16,15,38,8
2017-08-06,11,18,9,19,7
2017-08-13,7,16,7,18,8
2017-08-20,5,15,7,15,6
2017-08-27,12,16,5,18,11
2017-09-03,3,12,2,10,5
2017-09-10,10,13,7,22,10
2017-09-17,11,15,6,18,7
2017-09-24,12,14,5,19,9
2017-10-01,7,14,8,13,11
2017-10-08,11,15,6,14,11
2017-10-15,8,16,7,15,27
2017-10-22,20,17,6,17,13
2017-10-29,14,14,12,41,12
2017-11-05,14,18,7,22,11
2017-11-12,9,18,9,20,6
2017-11-19,11,31,7,13,5
2017-11-26,16,25,5,23,9
2017-12-03,16,20,4,19,14
2017-12-10,15,18,8,17,10
2017-12-17,13,20,6,19,8
2017-12-24,19,23,5,17,8
2017-12-31,17,20,8,17,11
2018-01-07,15,19,6,19,11
2018-01-14,15,18,4,23,14
2018-01-21,19,17,7,23,43
2018-01-28,28,17,5,41,26
2018-02-04,25,17,13,38,25
2018-02-11,16,14,8,31,17
2018-02-18,18,15,5,19,10
2018-02-25,11,17,6,26,18
2018-03-04,17,16,7,26,33
2018-03-11,15,16,5,19,23
2018-03-18,21,16,5,22,21
2018-03-25,23,15,16,16,31
2018-04-01,15,16,17,20,24
2018-04-08,12,16,9,16,27
2018-04-15,18,15,10,22,46
2018-04-22,30,18,7,25,23
2018-04-29,21,15,16,43,23
2018-05-06,18,17,10,27,18
2018-05-13,18,16,8,18,12
2018-05-20,13,16,9,17,22
2018-05-27,16,17,7,16,18
2018-06-03,20,18,9,28,24
2018-06-10,18,23,10,16,25
2018-06-17,13,15,12,16,36
2018-06-24,14,16,9,14,36
2018-07-01,17,17,12,14,17
2018-07-08,17,17,8,14,42
2018-07-15,32,16,7,13,100
2018-07-22,30,16,10,17,39
2018-07-29,26,16,19,53,39
2018-08-05,18,17,28,23,24
2018-08-12,24,16,17,22,22
2018-08-19,14,15,18,23,32
2018-08-26,18,18,11,23,28
2018-09-02,13,17,20,20,14
2018-09-09,14,15,17,25,21
2018-09-16,24,17,12,20,21
2018-09-23,24,16,19,22,23
2018-09-30,16,17,25,23,23
2018-10-07,23,15,15,25,27
2018-10-14,18,16,15,24,54
2018-10-21,35,21,25,24,35
2018-10-28,19,15,12,46,24
2018-11-04,16,17,11,33,20
